Student_ID,Attendance,Study_Hours,Internal_Mark,Assignment,Previous_Mark,Performance
S056,70.3,3.7,56.8,66.1,46.0,Medium
S057,74.7,3.7,49.4,51.3,48.7,Medium
S058,95.9,3.8,68.3,85.0,62.7,High
S059,67.6,2.2,54.2,42.6,56.5,Medium
S060,89.6,3.2,58.0,62.1,46.7,Medium
S061,57.8,3.2,35.0,59.5,45.1,Low
S062,74.0,3.9,57.0,57.8,49.5,Medium
S063,80.0,4.8,57.6,55.8,54.7,Medium
S064,85.0,1.9,48.6,47.2,37.3,Low
S065,86.5,3.2,58.6,57.0,48.9,Medium
S066,87.5,5.5,58.5,60.1,49.3,High
S067,73.8,2.4,35.5,44.0,30.0,Low
S068,72.5,2.2,51.0,38.4,44.9,Low
S069,88.3,3.7,58.5,69.3,58.2,High
S070,75.7,4.6,41.0,61.9,45.9,Medium
S071,62.7,3.4,55.2,46.0,56.4,Medium
S072,64.4,5.3,62.0,60.3,63.8,High
S073,67.0,4.6,51.7,60.0,43.5,Medium
S074,84.0,4.6,55.0,70.6,54.4,High
S075,79.7,4.2,67.9,51.6,47.9,Medium
S076,86.3,6.7,80.8,70.1,65.7,High
S077,72.9,3.1,71.2,60.8,52.6,Medium
S078,79.9,0.6,45.0,33.7,47.8,Low
S079,85.5,5.6,75.2,59.9,62.2,High
S080,74.3,2.8,49.5,53.1,41.4,Medium
S081,83.5,3.6,66.1,62.3,64.6,High
S082,70.1,5.2,67.4,49.7,34.6,Medium
S083,73.6,1.2,51.7,40.5,30.0,Low
S084,73.4,1.6,40.1,48.2,42.9,Low
S085,63.6,1.2,35.0,37.6,31.0,Low
S086,83.8,2.3,49.0,55.8,45.7,Low
S087,72.4,4.0,63.1,43.9,37.3,Low
S088,78.1,4.1,72.2,62.7,58.3,High
S089,83.8,3.8,57.4,57.1,64.7,Medium
S090,83.4,1.4,44.4,39.9,43.0,Low
S091,86.0,0.5,46.5,47.2,41.1,Low
S092,76.8,3.5,54.0,68.2,46.7,Medium
S093,72.9,2.7,57.7,64.6,47.9,Medium
S094,77.0,4.0,41.2,70.5,30.0,Medium
S095,57.8,4.4,45.2,51.8,42.5,Medium
S096,60.6,3.6,42.6,52.0,45.8,Medium
S097,62.1,4.5,35.8,62.0,30.0,Medium
S098,66.0,3.7,44.5,53.0,35.1,Medium
S099,82.8,4.1,55.2,62.9,40.0,High
S100,67.1,2.4,43.9,51.3,31.8,Low
S101,73.5,3.1,61.5,50.8,49.5,Medium
S102,93.6,3.7,63.2,56.6,35.1,High
S103,73.7,4.5,52.2,56.8,50.6,High
S104,86.9,2.8,56.9,60.7,55.5,Medium
S105,66.8,4.1,63.2,54.9,49.2,Medium
S106,75.5,3.0,45.1,54.5,30.0,Medium
S107,66.6,3.2,42.5,55.0,31.9,Low
S108,73.9,4.6,65.0,57.3,62.8,High
S109,88.1,0.6,43.9,47.8,30.0,Low
S110,57.3,1.6,41.4,37.8,31.3,Low
S111,83.2,1.3,47.1,32.4,30.0,Low
S112,80.9,0.5,47.2,50.2,47.4,Low
S113,70.9,2.5,39.2,41.2,30.0,Low
S114,60.6,4.4,53.5,39.5,44.5,Medium
S115,78.9,3.0,52.7,43.2,46.5,Low
S116,71.6,3.7,44.9,44.8,52.8,Medium
S117,80.8,4.9,53.4,66.4,47.6,High
S118,78.3,5.3,72.0,64.6,62.0,Medium
S119,97.2,3.3,62.0,59.3,40.0,Medium
S120,75.1,5.3,57.0,71.5,62.3,High
S121,65.7,3.5,50.2,53.6,37.6,Medium
S122,80.2,2.2,59.7,51.0,43.7,Medium
S123,80.6,2.6,35.0,54.2,35.3,Low
S124,94.3,1.3,40.6,53.8,30.0,Low
S125,88.0,2.2,46.7,32.0,37.1,Low
S126,82.3,2.9,67.1,50.1,59.7,Medium
S127,95.6,4.5,73.0,49.9,57.5,Medium
S128,63.7,5.8,68.7,64.9,44.5,High
S129,70.3,1.5,35.0,39.0,30.0,Low
S130,66.9,3.9,44.9,63.2,49.6,Medium
S131,73.3,1.9,49.5,54.1,30.0,Low
S132,61.5,4.1,52.3,54.1,36.4,Low
S133,85.6,3.2,63.2,52.4,57.5,Medium
S134,75.3,0.8,39.3,41.4,36.2,Low
S135,60.4,4.7,57.0,51.1,50.0,Medium
S136,65.8,2.6,46.9,44.2,53.9,Medium
S137,81.8,2.7,60.1,60.5,54.9,Low
S138,88.1,1.9,59.2,44.3,51.1,Medium
S139,100.0,2.5,48.7,65.4,68.1,Medium
S140,100.0,4.0,52.0,74.1,49.1,High
S141,83.0,3.1,65.1,46.6,43.4,Low
S142,66.1,3.9,62.5,61.6,56.3,Medium
S143,52.4,3.9,38.5,53.7,40.8,Low
S144,81.2,5.2,53.0,69.1,45.7,High
S145,68.2,2.9,49.6,40.8,31.3,Low
S146,73.0,1.3,49.8,31.6,55.4,Low
S147,70.7,4.9,75.2,56.6,61.0,High
S148,76.3,2.9,56.9,56.0,42.2,Medium
S149,90.8,5.0,67.9,61.8,63.2,High
S150,79.9,3.9,52.9,63.1,47.1,Medium
S151,76.1,3.2,54.3,41.7,40.4,Low
S152,65.6,3.9,50.5,51.0,47.5,Medium
S153,57.9,6.1,53.4,65.2,38.6,High
S154,72.2,6.3,85.7,93.3,78.0,High
S155,77.4,3.5,70.6,42.8,67.0,Medium
S156,99.2,3.6,76.6,78.5,69.4,High
S157,79.6,4.9,57.8,66.7,48.8,High
S158,89.8,2.2,62.1,55.8,46.9,Low
S159,72.0,3.9,60.9,56.4,47.2,Medium
S160,63.8,3.4,52.7,52.7,42.7,Medium
S161,66.4,3.8,63.0,51.5,47.1,High
S162,69.3,2.2,50.6,56.7,52.2,Low
S163,100.0,1.2,60.4,45.5,33.0,Low
S164,68.1,0.5,40.6,42.1,41.8,Low
S165,88.1,1.8,55.1,43.1,40.2,Medium
S166,67.2,2.8,35.0,45.6,35.9,Low
S167,89.2,3.0,59.9,47.2,38.1,Medium
S168,82.6,6.1,68.8,78.5,72.0,High
S169,76.1,4.9,53.5,77.1,62.5,High
S170,77.5,2.1,62.0,45.2,55.3,Low
S171,70.1,3.9,68.9,53.0,41.7,Medium
S172,83.4,2.8,66.4,43.4,56.2,Low
S173,72.5,3.0,53.4,47.9,47.0,Medium
S174,63.3,3.7,61.3,36.0,31.7,Medium
S175,62.7,4.3,53.6,45.8,43.1,Medium
S176,80.1,2.9,56.1,54.7,50.2,Low
S177,96.9,4.9,64.7,84.4,65.3,High
S178,79.9,1.8,51.4,70.6,50.9,Medium
S179,76.6,3.4,56.0,49.0,47.8,Medium
S180,81.4,7.0,67.4,92.9,76.7,High
S181,93.7,3.7,65.0,65.7,65.2,Medium
S182,80.6,5.4,67.8,67.6,34.6,Medium
S183,73.1,3.5,68.9,57.5,52.6,Medium
S184,91.3,4.2,74.1,66.3,59.3,High
S185,83.1,3.3,58.3,57.5,35.3,Medium
S186,96.4,3.2,65.7,57.4,54.1,High
S187,80.2,2.3,51.5,36.1,49.2,Low
S188,63.3,4.0,50.8,38.7,30.8,Low
S189,61.6,2.2,35.0,46.1,35.8,Low
S190,97.8,4.3,69.6,66.7,51.0,High
S191,98.7,4.9,68.5,68.1,52.7,High
S192,75.8,3.9,47.9,57.4,55.4,Medium
S193,73.4,3.0,55.8,57.5,43.6,Low
S194,95.5,4.0,71.2,68.0,63.2,High
S195,64.7,3.0,35.0,40.6,30.0,Low
S196,67.3,4.7,57.2,69.9,67.3,High
S197,85.7,0.8,53.7,55.6,51.1,Low
S198,73.3,2.9,59.8,54.3,47.7,Medium
S199,77.9,0.6,49.0,45.5,45.2,Low
S200,76.0,1.3,44.0,51.6,30.0,Low
S201,82.1,5.3,61.8,79.1,67.2,High
S202,94.9,4.7,62.5,75.6,54.5,High
S203,79.1,2.4,53.9,54.2,44.2,Medium
S204,85.7,1.3,51.3,49.1,39.0,Low
S205,53.4,0.5,38.7,30.0,30.0,Low
S206,77.4,2.6,60.5,56.0,55.6,Medium
S207,67.9,6.8,68.9,60.4,58.1,High
S208,63.4,4.0,42.5,45.5,42.3,Medium
S209,67.5,2.6,44.2,57.1,41.4,Medium
S210,74.0,4.1,59.5,65.0,56.3,Medium
S211,89.0,1.2,47.8,58.7,40.5,Low
S212,62.1,3.0,41.6,43.0,53.6,Low
S213,78.4,3.5,59.1,45.5,33.6,Medium
S214,72.2,3.3,48.7,49.5,51.7,Medium
S215,74.1,4.5,55.3,61.3,59.8,Medium
S216,90.0,3.9,67.1,63.8,49.2,High
S217,84.5,4.3,61.2,73.9,73.6,High
S218,94.0,2.4,60.5,52.1,56.9,Medium
S219,76.1,4.7,64.3,65.4,62.8,High
S220,69.6,5.7,55.6,57.3,48.0,Medium
S221,75.3,2.0,43.5,49.0,36.9,Low
S222,80.9,2.2,62.2,48.0,46.9,Low
S223,80.1,5.3,58.1,61.2,53.5,Medium
S224,65.0,3.1,35.0,45.5,44.1,Medium
S225,79.1,5.4,52.6,66.4,50.3,High
S226,80.7,2.8,54.3,49.6,37.4,Medium
S227,100.0,5.4,78.2,93.3,77.6,High
S228,100.0,3.6,66.8,64.4,63.4,High
S229,67.8,3.8,62.9,50.7,55.1,Medium
S230,74.6,5.6,45.2,48.8,45.4,Medium
S231,60.4,2.9,48.1,36.1,35.1,Low
S232,70.9,2.1,58.0,41.0,36.7,Low
S233,81.8,2.8,45.5,46.2,31.9,Low
S234,92.5,4.0,63.5,77.5,45.1,Medium
S235,69.3,1.2,35.0,35.5,31.8,Low
S236,70.2,4.3,50.1,69.0,47.6,Medium
S237,52.2,2.6,37.0,39.7,30.0,Low
S238,76.0,5.0,75.5,64.8,37.3,High
S239,65.3,0.5,48.8,30.0,30.0,Low
S240,71.6,2.3,44.3,45.1,46.9,Low
S241,67.5,1.0,53.3,50.6,39.2,Low
S242,76.9,2.2,49.5,30.0,39.1,Medium
S243,56.9,3.7,62.0,30.2,32.0,Low
S244,60.4,3.1,45.6,40.9,48.9,Low
S245,100.0,3.0,65.8,61.9,53.6,High
S246,62.6,3.2,50.4,53.1,46.0,Low
S247,64.8,3.7,76.8,55.4,77.5,Medium
S248,100.0,2.0,65.7,51.5,63.7,Medium
S249,100.0,4.4,66.5,79.7,58.0,High
S250,63.9,4.3,62.2,64.3,48.8,Medium
S251,73.6,3.9,54.1,58.2,44.6,Medium
S252,82.1,4.2,58.5,70.3,57.3,Medium
S253,98.7,3.8,75.6,68.7,61.4,High
S254,66.2,6.2,66.4,63.4,52.3,High
S255,75.1,3.3,56.3,59.1,60.4,Medium
S256,87.3,3.0,58.4,57.0,48.3,Medium
S257,83.2,2.3,55.5,50.2,64.0,Medium
S258,73.5,2.0,49.4,56.8,45.0,Medium
S259,76.4,1.7,35.0,30.0,42.5,Low
S260,61.5,2.2,46.7,30.0,37.5,Low
S261,75.1,3.3,46.4,42.3,45.9,Low
S262,74.8,3.9,45.6,53.3,35.3,Low
S263,80.8,3.5,57.4,54.2,41.0,Medium
S264,71.3,2.3,47.7,31.5,39.4,Low
S265,83.7,4.7,60.2,56.6,58.0,Medium
S266,90.2,4.4,74.3,58.9,58.9,High
S267,79.9,3.2,45.1,76.3,37.4,Low
S268,82.2,2.5,49.9,66.9,36.6,Medium
S269,78.6,4.2,56.0,56.4,36.3,Medium
S270,78.0,3.7,57.2,53.3,33.3,High
S271,69.3,1.4,43.1,30.0,33.6,Low
S272,81.8,3.3,49.4,38.7,47.8,Medium
S273,76.8,3.8,63.4,55.7,51.5,Medium
S274,100.0,2.1,60.3,46.9,30.0,Medium
S275,96.9,3.7,51.5,63.8,45.9,High
S276,82.6,1.4,35.0,30.0,30.0,Low
S277,68.8,5.3,61.9,56.3,67.7,Medium
S278,64.7,5.1,57.6,61.9,38.6,Medium
S279,92.3,3.0,60.2,61.9,48.6,Medium
S280,81.2,3.9,60.2,63.2,65.7,High
S281,83.8,0.5,44.8,30.0,37.2,Low
S282,57.1,1.8,44.8,43.2,42.1,Low
S283,89.1,3.0,50.3,49.7,43.5,Low
S284,83.5,1.9,41.1,53.1,41.2,Low
S285,64.7,4.4,46.5,55.7,48.5,Medium
S286,72.3,6.2,71.1,58.3,50.1,High
S287,81.2,1.8,58.6,42.6,52.0,Medium
S288,78.6,2.2,46.5,50.8,30.0,Low
S289,74.5,3.7,36.3,61.0,40.9,Medium
S290,76.8,5.7,54.3,67.7,51.6,High
S291,75.0,1.7,38.6,56.3,33.2,Low
S292,79.8,3.7,54.5,67.0,49.9,Medium
S293,95.7,5.9,75.4,76.5,59.4,High
S294,47.2,1.1,35.0,33.6,30.0,Low
S295,75.2,1.6,42.4,59.4,38.3,Low
S296,80.1,2.8,62.3,69.5,46.3,Medium
S297,81.6,2.7,48.4,40.6,41.4,Low
S298,73.5,4.5,53.4,52.0,35.8,Medium
S299,56.9,3.7,51.7,61.6,52.6,Medium
S300,81.9,0.9,35.0,30.8,30.0,Low
